"subject_id","V1__1","V2__1","V1__2","V2__2","V1__3","V2__3","V1__4","V2__4","V1__5","V2__5","V1__6","V2__6","V1__7","V2__7","V1__8","V2__8","V1__9","V2__9","V1__10","V2__10","V1__11","V2__11","V1__12","V2__12","V1__13","V2__13","V1__14","V2__14","V1__15","V2__15","V1__16","V2__16","V1__17","V2__17","V1__18","V2__18","V1__19","V2__19","V1__20","V2__20","V1__21","V2__21","V1__22","V2__22","V1__23","V2__23","V1__24","V2__24","V1__25","V2__25","V1__26","V2__26","V1__27","V2__27","V1__28","V2__28","V1__29","V2__29","V1__30","V2__30","V1__31","V2__31","V1__32","V2__32","V1__33","V2__33","V1__34","V2__34","V1__35","V2__35","V1__36","V2__36","V1__37","V2__37","V1__38","V2__38","V1__39","V2__39","V1__40","V2__40","V1__41","V2__41","V1__42","V2__42","V1__43","V2__43","V1__44","V2__44","V1__45","V2__45"
"71","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","b","d","a","d","a","c","a","c","a","c","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","a","c","a","d","a","d","a","d","a","d","a","d","b","d","b","d","b","d","c","d","c","d","c","d","d","d"
"72","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a"
"73","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","d","c","c","c","c","c","c","c","d","c","d","c","c","c","c","c","c","c","c","c","c","c","c","b","c","b","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"74","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","c","c","c","c","d","c","d","b","d","b","d","b","c","b","c","b","c","b","c","b","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"75","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","c","d","c","c","c","c","c","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","a","c","a","c","a","c","a","c","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"76","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","b","d","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","c","c","c","b","c","b","c","b","c","b","d","b","d","b","d","b","d","a","c","a","d","a","c","a","c","a","c","a","c","a","d","a","d","a","d","a","d","a","d","a","d","a","d"
"77","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","b","d","b","d","b","d","b","d","b","d","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","d","b","d","a","d","a","d","a","d","a","c","a","c","a","c","a","d","a","d","a","d","a","c","a","c","a","c","a","c"
"78","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","b","d","b","d","b","c","c","c","b","c","b","c","c","c","c","c","c","c","c","c","c","b","c","b","d","b","d","b","d","b","d","b","d","b","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d"
"79","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"80","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"81","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"82","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","d","c","d","c","d","c","c","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"83","d","c","d","c","d","c","d","c","d","d","d","c","d","c","d","d","d","d","d","d","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","c","c","c","c","c","c","c","c","c","c","c","b","d","b","d","b","c","b","c","b","c","b","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"84","d","d","d","d","d","c","d","d","d","c","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","b","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a"
"85","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"86","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","b","d","a","d","a","d","a","d","a","d","a","d","a"
"87","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","b","d","b","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a"
"88","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a"
"89","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a"
"90","c","d","c","d","d","d","d","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","c","d","c","d","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","c","a","c","a","c","a","c","a","c","a"
"91","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","b","d","b","d","b","d","b","d","a","d","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","b","a","b","a","c","a","c","a","c","a","d","a","d","a","d","a","d","a","d","a","d","a","c","a","c","a","c","a","c","a"
"92","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a"
"93","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","c","c","c","c","c","b","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"94","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","c","c","c","c","c","c","c","c","c","b","c","b","c","b","b","b","b","b","b","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"95","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"96","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","c","c","c","c","d","c","c","c","b","c","c","c","c","c","b","c","b","c","c","c","c","c","b","c","b","c","c","c","b","c","a","c","b","c","b","c","a","c","a","c","b","c","a","c","a","c","a","c","b","c","a","c","a","c","b","c","a","c","a","c","a","c","a","c"
"97","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c"
"98","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","d","c","c","c","c","c","d","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"99","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","b","d","b","d","c","d","c","d","b","d","a","d","a","d","b","d","b","d","b","d","a","d","a","d","b","d","b","d","b","d","a","d","a","d","a","d","b","d","b","d","a","d","a","d","a","d","b","d","b","d","a","d","a"
"100","d","c","d","c","d","c","c","c","b","c","c","c","d","c","b","c","a","c","a","c","c","c","d","c","b","c","a","c","b","c","d","c","d","c","a","c","a","c","c","c","d","c","b","c","a","c","b","c","d","c","d","c","a","c","a","c","c","c","d","c","b","c","a","c","a","c","c","c","c","c","a","c","a","c","b","c","d","c","c","c","a","c","a","c","c","c","d","c","c","c"
"101","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","c","b","b","a","b","a","b","a","b","a","c","a","d","a","c","a","d","b","c","b","b","c","a","c","a","c","b","c","c","b","c","c","c","c","c","c","b","d","a","c","a","c","a","d","a","c","a","c","c","d","c","d","c","d","b","d","a","d","a","d","a","d","a","d","b","d","c"
"102","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","b","c","b","a","d","a","b","c","a","c","b","d","d","c","c","d","a","d","a","c","d","b","d","a","b","c","a","a","a","a","d","a","c","a","a","b","a","b","c","a","c","a","a","a","a","a","b","a","c","a","a","b","a","a","a","b","d","b","b","a","a","b","b","b","d","b","c","b","a","b","a","c","d","c","c"
"103","c","d","c","d","d","d","c","d","c","d","d","d","d","d","c","c","c","b","c","c","c","d","c","c","c","a","c","a","c","d","c","a","c","a","c","a","c","d","c","b","c","a","c","a","c","c","c","d","c","a","c","b","d","d","d","d","c","a","c","a","c","c","c","d","c","a","c","a","c","a","d","d","c","d","c","a","c","a","d","d","d","d","c","a","d","a","d","a","d","c"
"104","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","c","b","c","a","c","a","c","d","c","c","c","c","c","c","c","c","c","d","c","d","b","c","b","b","b","b","a","b","a","c","a","a","a","a","a","c","a","b","a","c","a","c","a","d","a","a","a","d","a","a","a","a","a","b"
"105","d","d","d","d","d","c","d","d","d","d","d","d","d","d","d","c","d","d","d","c","d","c","d","c","d","c","d","c","d","c","d","c","c","d","c","a","c","a","c","d","c","c","c","c","c","d","b","a","b","a","c","d","c","c","c","c","c","c","b","a","b","a","a","a","b","c","b","c","b","c","a","c","a","c","a","a","a","d","a","c","a","c","a","c","a","c","a","c","a","a"
"106","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","c","c","b","c","b","b","d","b","d","b","b","b","b","b","c","a","b","a","a","a","a","a","a","a","a","a","b","a","c","a","b","a","a","a","a","a","a","b","a","a","c","a","c","a","b","a","a","a","a","a","a","a","c","a","c"
"107","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","c","c","c","b","c","b","b","c","b","b","c","a","b","b","c","b","b","a","b","a","a","a","a","a","a","b","b","b","a","a","a","a","a","a","a","a","a","b","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","a","a","a","a","a"
"108","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","b","d","b","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","b","c","b","b","c","b","c","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","a","c","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b"
"109","a","d","a","d","a","d","a","d","a","d","a","c","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","b","b","b","c","b","c","b","d","b","d","b","d","b","d","b","d","b","d","b","d","c","c","c","b","c","a","c","a","c","a","c","a","c","a","c","a","c","b","d","b","d","b","d","b","d","c","d","c","d","d","d","d","d","c","d","c","d","b","d","a"
"110","d","d","d","d","d","d","d","d","d","c","d","c","d","b","d","a","d","a","d","a","d","a","d","b","d","b","c","c","c","d","c","d","c","d","c","d","c","d","c","c","c","b","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","c","b","d","a","d","a","d","a","d","a","d","a","d","a","c","a","b","a","a","a","a","a","a","a","a","a","a","a","b","a","c","a","d"
"111","d","d","d","d","d","d","d","d","d","c","d","b","d","b","d","a","d","a","d","a","d","a","d","a","d","b","c","c","c","d","c","d","c","d","c","d","c","d","c","c","c","b","b","a","b","a","b","a","b","a","b","a","b","b","b","c","b","d","a","d","a","d","a","d","a","d","a","c","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","c","a","d","a","d"
"112","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","b","d","a","d","a","d","a","d","a","d","a","d","b","c","c","c","d","c","d","c","d","c","d","c","d","c","d","c","c","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","c","a","d","a","d","a","d","a","d","a","d","a","c","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","b"
"113","a","b","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","a","d","a","d","a","d","a","d","a","d","b","d","b","c","b","c","b","b","b","b","b","a","b","a","c","a","c","a","c","a","c","a","c","a","c","b","c","c","c","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","b","d","b","d","a","d","a","d","a"
"114","a","a","a","a","a","a","a","b","a","b","a","c","a","c","a","c","a","d","a","d","a","d","a","d","a","d","a","d","a","c","b","c","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","c","a","c","a","c","b","c","b","c","c","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","b","d","a","d","a","d","a"
"115","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","d","a","d","b","d","b","d","b","d","b","d","b","d","b","d","b","c","b","c","b","b","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","b","c","b","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","b","d","b"
"116","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","d","a","d","a","d","a","d","b","d","b","d","b","d","b","c","b","c","b","b","b","b","b","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","b","c","b","c","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","b","d","b","d","b"
"117","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","c","a","c","a","d","a","d","b","d","b","d","b","d","b","d","b","c","b","c","b","b","b","b","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","b","c","c","c","c","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","d","b","d","b","d","a","d","a"
"118","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","c","b","c","a","c","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","d","a","d","a","d","a","d","a","d","a","d","a","d","b","d","b","c","a","c","a","b","a","b","a","a","a","a","a","a"
"119","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","b","d","b","d","a","d","a","c","a","c","a","c","b","c","b","c","c","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","c","b","b","b","b","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","c","a","d","a","c","a","c","a","b","a","a","a","a","a","a","a","a"
"120","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","b","d","a","d","a","d","a","d","a","d","a","d","a","c","a","c","b","c","b","c","c","c","d","b","d","b","d","b","d","b","d","b","d","b","d","b","c","b","b","b","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","d","a","d","a","d","a"
"121","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","b","d","b","d","a","d","a","d","a","d","a","d","a","d","b","c","c","c","c","c","d","c","d","c","d","c","d","c","d","c","c","c","c","c","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","a","b","a","c","a","d","a","d","a","d","a","d","a","d","a","c","a","b","a","b","a","a","a"
"122","b","d","b","d","b","d","b","d","b","d","b","d","b","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","c","c","b","c","b","c","a","c","a","c","a","c","a","c","a","c","b","c","c","b","d","b","d","b","d","b","d","b","d","b","d","b","c","b","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","c","a","d","a","d","a","d","a","d","a"
"123","d","d","d","d","d","d","d","d","d","d","d","d","c","d","b","d","a","d","a","d","a","d","a","d","a","d","b","d","c","c","d","c","d","c","d","c","d","c","d","c","c","c","b","c","a","b","a","b","a","b","a","b","a","b","b","b","c","b","d","b","d","b","d","a","d","a","d","a","d","a","c","a","b","a","a","a","a","a","a","a","a","a","a","a","b","a","c","a","c","a"
"124","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","b","d","b","d","a","c","a","c","a","c","a","c","a","c","a","c","b","c","b","c","b","c","c","c","c","b","d","b","d","b","d","b","d","b","d","b","d","b","c","b","c","b","c","b","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","a"
"125","d","d","d","d","d","d","d","d","c","d","c","d","b","d","a","d","a","c","a","c","a","c","a","c","a","c","a","c","b","c","b","c","c","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","c","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","c","a","c","a","d","a","d","a","d","a","d","a","d","a","d","a"
"126","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","c","c","c","c","c","b","c","b","c","a","c","a","c","a","c","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","b","c","a","c","a","d","a","d","a","d","a","d","a","d","a","c","a","c","a","b","a","b","a","a","a","a","a","a","a"
"127","c","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","b","c","a","c","a","c","a","c","a","c","a","c","b","c","c","c","d","c","d","c","d","c","d","c","d","c","c","b","b","b","a","b","a","a","a","a","a","b","a","a","a","a","b","a","b","a","c","a","d","a","d","b","d","b","d","a","c","a","c","a","b","a","a","a","a","a","a","a"
"128","b","d","b","d","b","d","b","d","b","d","b","d","b","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","c","c","b","c","a","b","a","b","a","b","a","b","a","b","a","b","b","b","c","b","d","b","d","b","d","b","d","b","d","b","d","b","c","a","c","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","c","a","c","a"
"129","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","b","d","a","c","a","c","a","c","a","c","a","c","a","c","a","c","b","c","c","c","c","c","d","c","d","c","d","c","d","c","d","c","c","b","c","b","b","b","b","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","d","a","d","a","d","a","d","a","d","a","d","a","c","a","b","a"
"130","c","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","b","c","a","c","a","c","a","c","a","c","a","c","b","c","c","c","d","c","d","c","d","c","d","c","d","c","c","b","b","b","a","b","a","a","a","a","a","b","a","a","a","a","b","a","b","a","c","a","d","a","d","b","d","b","d","a","c","a","c","a","b","a","a","a","a","a","a","a"
"131","b","d","b","d","b","d","b","d","b","d","b","d","b","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","c","c","b","c","a","b","a","b","a","b","a","b","a","b","a","b","b","b","c","b","d","b","d","b","d","b","d","b","d","b","d","b","c","a","c","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","c","a","c","a"
"132","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","c","d","b","d","b","d","a","c","a","c","a","c","b","c","b","c","c","c","c","b","c","b","d","b","d","b","d","b","d","b","d","b","d","a","d","a","d","a","d","a","c","a","c","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"133","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","a","d","a","d","a","c","a","c","a","c","a","c","a","c","a","b","a","b","b","b","b","b","c","b","c","b","d","b","d","b","d","b","d","b","d","b","d","a","d","a","d","a","d","a","d","a","d","a","c","a","c","a","c","a","b","a","b","a","a","a","a","a","a"
"134","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","a","d","a","d","a","d","a","c","a","c","a","c","a","c","b","c","b","c","c","c","c","c","c","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","c","b","c","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","d","a","d","a","d","a","d"
"135","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","d","d","c","d","c","d","b","d","a","d","a","c","a","c","a","c","a","c","a","b","b","b","c","b","c","b","d","b","d","b","d","b","d","b","d","b","c","b","b","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","c","a","d","a","d","a","d"
"136","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","b","d","a","d","a","d","a","d","a","c","a","c","a","c","b","c","b","c","c","c","c","c","d","c","d","b","d","b","d","b","c","b","c","b","b","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","a","d","a","d","a","d","a","d","a","c","a","c"
"137","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","b","d","a","d","a","d","a","d","a","d","a","c","a","c","a","c","b","c","b","c","c","c","d","c","d","c","d","b","d","b","d","b","d","b","c","b","c","b","b","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","c","a","c","a","d","a","d","a","d","a","d","a","d","a","c","a","c"
"138","d","b","d","b","d","b","d","b","d","c","d","c","d","b","d","b","d","b","d","b","d","b","d","a","d","a","d","a","d","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","c","a","b","b","b","b","b","c","b","c","b","c","b","d","b","d","b","d","b","d","b","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","d","a","c","a","c","a","c","a","b"
"139","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","a","d","a","d","a","d","a","d","a","c","a","c","a","c","b","c","b","c","b","c","c","c","c","c","d","c","d","c","d","b","d","b","d","b","d","b","d","b","d","b","d","a","d","a","d","a","d","a","d","a","c","a","c","a","c","a","c","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a"
"140","d","c","d","c","d","c","d","c","d","b","d","c","d","b","d","a","d","a","d","a","d","a","d","a","c","a","c","a","c","a","c","b","c","b","c","c","c","c","c","c","c","d","c","d","b","d","b","d","b","d","b","d","b","d","b","c","b","c","b","b","b","b","b","b","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","d","a","d","a","d","a","d"
"141","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","a","d","a","d","a","d","a","c","a","c","a","c","b","c","b","c","b","c","c","c","c","c","d","c","d","c","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","a","d","a","c","a","c","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b"
"142","d","d","d","d","d","d","d","d","d","d","d","d","d","c","d","c","d","b","d","b","d","a","d","a","c","a","c","a","c","a","c","b","c","b","c","b","c","c","c","c","c","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","d","b","c","b","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a"
"143","d","d","d","d","d","c","d","c","d","b","d","b","d","a","d","a","d","a","d","a","c","a","c","a","c","b","c","b","c","b","c","c","c","c","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b","d","b","d","b","d","b","c","b","c","b","b","b","b","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c"
