"subject_id","V1__1","V2__1","V3__1","V4__1","V5__1","V6__1","V1__2","V2__2","V3__2","V4__2","V5__2","V6__2","V1__3","V2__3","V3__3","V4__3","V5__3","V6__3","V1__4","V2__4","V3__4","V4__4","V5__4","V6__4","V1__5","V2__5","V3__5","V4__5","V5__5","V6__5","V1__6","V2__6","V3__6","V4__6","V5__6","V6__6","V1__7","V2__7","V3__7","V4__7","V5__7","V6__7","V1__8","V2__8","V3__8","V4__8","V5__8","V6__8","V1__9","V2__9","V3__9","V4__9","V5__9","V6__9","V1__10","V2__10","V3__10","V4__10","V5__10","V6__10","V1__11","V2__11","V3__11","V4__11","V5__11","V6__11","V1__12","V2__12","V3__12","V4__12","V5__12","V6__12","V1__13","V2__13","V3__13","V4__13","V5__13","V6__13","V1__14","V2__14","V3__14","V4__14","V5__14","V6__14","V1__15","V2__15","V3__15","V4__15","V5__15","V6__15"
"71","d","a","d","b","a","a","d","a","d","c","c","a","d","a","d","d","d","b","d","a","d","d","d","d","d","a","c","d","d","d","c","b","c","d","d","d","c","b","c","d","d","d","c","b","c","d","c","c","b","c","c","b","b","c","b","c","b","b","a","b","a","c","b","a","a","b","a","d","a","a","a","b","a","d","a","a","a","b","a","d","a","a","a","b","a","d","a","a","b","b"
"72","d","b","d","a","c","d","d","b","d","a","c","d","d","b","d","a","c","d","d","b","d","a","c","d","d","a","d","b","c","c","c","a","c","b","c","c","c","a","c","c","d","c","c","a","c","c","d","c","c","a","c","d","d","c","c","b","b","d","c","c","b","c","b","d","c","b","a","c","a","d","b","b","a","d","a","d","a","a","a","d","a","d","a","a","a","d","a","d","a","a"
"73","a","d","a","d","d","d","c","d","a","c","d","d","c","d","b","b","d","c","b","d","b","c","c","c","a","c","b","a","c","c","b","c","b","b","b","b","b","b","c","b","b","b","b","b","c","c","b","b","b","b","c","c","b","b","b","b","c","b","b","b","b","a","c","a","a","c","d","b","c","d","a","a","b","a","d","a","b","d","c","a","d","a","b","c","d","a","d","d","b","a"
"74","a","c","d","b","d","b","a","c","d","c","d","b","b","c","c","b","c","b","b","c","b","a","b","b","b","c","c","a","c","b","c","b","b","b","b","c","d","a","a","c","a","d","d","a","a","d","a","d","d","a","a","d","a","d","d","a","a","d","a","d","d","c","d","a","d","a","a","d","d","b","c","b","a","d","d","b","c","a","a","d","d","b","d","a","a","d","d","b","d","a"
"75","d","a","d","d","d","a","d","a","d","d","d","c","d","a","d","d","d","a","c","b","c","d","d","a","d","b","d","c","d","a","c","b","c","c","c","c","c","b","c","c","c","d","c","b","c","b","c","a","b","c","b","b","b","a","b","c","b","b","b","c","b","d","b","b","b","c","b","b","b","b","b","d","a","d","a","a","a","d","a","d","a","a","a","d","a","d","a","a","a","d"
"76","d","c","d","d","d","a","d","d","d","d","d","a","d","d","d","d","d","a","c","d","d","c","d","a","c","d","c","b","c","a","c","d","c","b","c","a","b","d","c","b","c","b","b","c","c","b","c","b","b","c","b","a","b","b","a","c","b","a","b","c","a","b","b","a","a","c","a","a","a","b","a","d","a","a","a","b","a","d","a","a","a","b","a","d","a","a","a","a","a","d"
"77","a","c","d","d","c","b","b","c","d","c","d","a","d","b","d","d","d","a","c","c","d","c","d","b","d","c","c","d","d","a","d","a","c","d","d","a","d","a","d","d","d","b","d","c","b","b","c","a","d","c","b","a","c","a","b","d","a","a","b","b","c","c","b","a","b","d","b","c","a","a","a","d","a","c","b","a","a","d","a","c","a","b","a","d","a","a","a","b","a","d"
"78","a","a","d","d","c","d","a","a","d","d","b","d","a","a","d","d","d","d","a","a","d","d","d","d","a","a","d","d","a","d","a","b","d","d","c","d","b","a","c","c","d","c","b","b","c","c","c","c","b","c","c","c","c","c","c","c","b","b","b","b","c","d","b","b","b","b","c","d","a","a","a","a","d","d","a","a","b","a","d","d","a","a","a","a","d","d","a","a","a","a"
"79","d","a","a","c","d","b","d","a","a","a","a","a","d","c","a","a","a","a","d","d","b","a","b","a","c","c","b","b","b","b","c","c","c","b","c","b","b","c","c","c","b","b","b","c","c","c","b","c","b","c","c","c","b","c","a","c","c","c","c","d","a","c","d","c","b","d","a","c","d","d","b","d","a","c","d","d","c","d","a","c","d","d","c","d","a","c","d","d","b","d"
"80","d","a","d","a","b","c","c","a","d","a","b","c","d","b","d","a","c","d","c","a","c","c","b","c","c","a","c","c","a","a","b","a","c","b","a","a","c","a","c","b","a","c","a","c","c","c","a","a","b","c","b","c","b","a","a","d","a","b","b","c","b","d","b","c","c","a","a","d","a","a","b","c","a","d","b","b","b","c","d","b","a","d","d","a","c","c","a","d","d","c"
"81","d","a","d","a","a","a","d","a","d","a","a","a","d","a","d","a","a","a","d","a","d","a","a","a","c","b","d","a","b","b","d","b","c","a","b","c","c","b","c","a","b","c","a","c","c","b","b","b","a","c","b","b","b","c","a","c","b","b","c","c","a","d","a","c","c","c","a","d","a","d","d","d","a","d","a","d","d","d","b","d","a","d","d","d","c","d","a","d","d","d"
"82","b","a","d","a","a","a","c","a","d","a","a","a","a","a","d","a","a","a","a","a","d","a","a","a","a","a","d","b","a","a","a","b","c","b","a","a","a","b","c","b","b","b","a","c","b","b","b","b","b","d","a","c","c","c","d","d","a","d","d","d","c","d","a","d","d","d","d","d","a","d","d","d","d","d","a","d","d","d","d","d","a","d","d","d","d","d","a","d","d","d"
"83","c","d","d","a","b","d","c","d","d","a","b","d","d","c","d","a","c","d","c","d","d","a","a","d","d","c","d","a","c","c","d","b","d","b","c","d","d","b","c","b","d","c","b","c","c","b","c","c","c","a","c","c","d","b","c","b","b","c","d","b","b","b","b","c","d","b","b","b","a","d","d","b","a","a","a","d","b","a","a","a","a","d","a","a","a","a","a","d","a","a"
"84","d","a","d","a","a","c","d","a","d","a","a","c","d","a","d","a","a","d","d","a","d","a","b","d","d","a","d","b","d","d","d","a","c","c","d","d","c","c","b","c","d","c","a","d","a","d","c","b","a","d","a","d","c","b","a","d","a","d","c","a","a","d","a","d","c","a","a","d","a","d","c","a","a","d","a","d","c","b","a","c","a","c","c","a","a","c","b","c","c","a"
"85","a","a","d","d","a","d","a","b","d","d","b","d","a","b","d","d","b","c","a","b","d","d","b","c","b","b","d","d","b","c","b","b","c","c","b","c","b","a","c","c","a","c","a","b","c","c","a","c","b","c","b","b","a","b","c","b","c","b","b","a","d","a","b","b","c","a","d","d","a","a","d","a","d","d","a","a","c","a","d","d","a","a","d","a","d","d","a","a","d","a"
"86","a","a","d","d","a","b","a","a","d","d","a","a","a","a","d","d","a","b","a","a","d","d","a","b","a","a","d","d","a","a","b","b","c","c","b","a","b","b","c","c","b","b","b","b","c","b","b","b","b","b","c","c","b","b","c","c","b","b","c","b","c","c","b","b","c","c","d","d","a","a","d","c","d","d","a","a","d","d","d","d","a","a","d","d","d","d","a","a","d","d"
"87","d","c","d","d","d","a","d","b","d","d","d","a","c","d","c","b","c","a","d","a","d","d","d","c","d","b","c","d","d","c","d","b","c","d","c","c","d","a","c","d","c","c","c","b","b","c","c","c","a","c","c","b","a","d","b","d","b","b","b","c","b","b","b","b","b","c","a","b","b","a","c","d","a","c","a","a","b","c","a","d","a","a","a","c","a","b","a","a","a","d"
