"subject_id","V1__1","V2__1","V1__2","V2__2","V1__3","V2__3","V1__4","V2__4","V1__5","V2__5","V1__6","V2__6","V1__7","V2__7","V1__8","V2__8","V1__9","V2__9","V1__10","V2__10","V1__11","V2__11","V1__12","V2__12","V1__13","V2__13","V1__14","V2__14","V1__15","V2__15","V1__16","V2__16","V1__17","V2__17","V1__18","V2__18","V1__19","V2__19","V1__20","V2__20","V1__21","V2__21","V1__22","V2__22","V1__23","V2__23","V1__24","V2__24","V1__25","V2__25","V1__26","V2__26","V1__27","V2__27","V1__28","V2__28","V1__29","V2__29","V1__30","V2__30","V1__31","V2__31","V1__32","V2__32","V1__33","V2__33","V1__34","V2__34","V1__35","V2__35","V1__36","V2__36","V1__37","V2__37","V1__38","V2__38","V1__39","V2__39"
"82","c","c","d","a","d","a","d","a","d","c","d","c","b","d","c","d","d","d","c","d","d","d","d","d","c","d","b","c","b","b","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","b","a","b","a","b","a","c","a","c","a"
"83","c","c","d","a","d","a","d","a","d","c","d","c","b","d","c","d","d","d","c","d","d","d","d","d","c","d","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","a","b","b","b","a","b","a","c","a","c","b"
"84","c","c","d","b","d","a","d","a","d","a","d","c","c","d","b","d","c","d","d","d","c","d","c","d","d","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","a","b","a","b","a","c","a","c","b"
"85","d","c","d","b","d","a","d","a","d","a","d","c","b","c","b","d","c","d","d","d","c","d","d","d","d","d","b","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","b","a","c","a","c","b"
"86","d","c","d","b","d","a","d","a","d","b","d","c","c","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","b","b"
"87","d","c","d","b","d","a","d","a","d","a","d","c","b","d","c","d","d","d","d","d","c","d","c","d","d","d","b","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","c","a","c","a","c","a"
"88","c","c","d","b","d","a","d","a","d","b","d","c","b","d","b","d","c","d","c","d","c","d","c","d","c","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","c","a","c","a"
"89","d","c","d","b","d","a","d","a","d","b","d","c","b","d","b","d","c","d","c","d","b","d","b","d","c","d","c","c","b","b","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","a","b","a","b","a","c","a","c","a","c","a"
"90","d","c","d","a","d","a","d","a","d","b","c","c","a","d","c","d","c","d","d","d","c","d","c","d","c","d","b","c","b","b","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","a","b","a","c","a","c","a","d","a"
"91","d","c","d","a","d","a","d","a","d","c","d","c","b","d","c","d","d","d","c","d","c","d","c","d","c","d","c","c","b","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","a","b","a","b","a","c","a","c","a","c","b"
"92","d","b","d","a","d","a","d","a","d","b","c","c","b","d","c","d","d","d","c","d","d","d","d","d","c","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","b","b","b","c","b","c","b"
"93","d","c","d","a","d","a","d","a","d","c","d","c","b","d","c","d","d","d","c","d","c","d","d","d","c","c","b","c","b","c","b","b","b","b","b","b","a","b","b","c","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","b","b","a","c","a","c","a","c","a","c","b"
"94","d","b","d","a","d","a","d","b","c","c","a","d","c","d","d","d","c","d","d","d","c","d","c","d","b","c","b","b","b","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","a","b","a","c","a","c","b","c","b","d","b"
"95","d","b","d","a","d","a","d","b","d","c","b","d","b","d","c","d","c","d","c","d","c","d","c","d","c","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","a","b","a","b","a","c","a","c","a","c","a","d","b"
"96","c","c","d","c","d","a","d","a","d","a","d","c","d","c","b","d","b","d","c","d","b","d","c","d","b","d","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","a","b","a","c","a","c","a"
"97","c","c","d","b","d","a","d","a","d","b","d","c","b","d","b","d","c","d","d","d","c","d","c","d","c","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","b","a","b","a","b","a","c","a"
"98","d","d","d","d","d","d","d","d","d","d","d","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","b","c","b","d","b","d","b","d","b","d","b","d","c","d","b"
"99","d","c","d","b","d","a","d","a","d","b","d","c","b","d","b","d","c","d","c","d","c","d","c","d","c","d","c","b","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","a","a","a","b","a","b","a","c","a","c","b"
"100","c","d","a","b","b","b","b","b","b","b","b","a","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","b","c","b","d","c","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d","d"
"101","d","c","d","c","d","b","d","a","d","b","d","c","c","d","b","d","c","d","c","d","b","d","b","d","c","d","c","c","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","b","a","b","a","c","a","c","a","c","b","d","b","d","b","d","b"
"102","d","b","d","a","d","c","d","d","d","c","c","d","c","d","c","d","b","d","c","d","c","d","c","c","b","b","b","b","b","b","b","b","b","b","c","b","b","b","b","b","b","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","b","c","b","c","b","c","b","c","b","c","b","d","b"
"103","d","b","d","a","d","c","d","c","d","d","c","d","b","d","c","d","b","d","c","d","c","d","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","b","c","b","c","b","d","b","d","b","d","b","d","c"
"104","d","c","d","b","d","a","d","c","d","c","d","d","c","d","c","d","c","d","b","d","c","d","c","d","c","b","c","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","b","a","c","b","c","b","c","b","c","b","c","b","c","b"
"105","d","c","d","b","d","a","d","b","d","d","d","c","c","d","c","d","c","d","c","d","c","d","c","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","b","b","c","b","c","b","c","b","c","b","c","b","d","c"
"106","d","c","d","c","d","b","d","a","d","c","d","d","d","d","c","d","c","d","c","d","b","d","b","d","c","d","b","c","b","c","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","b","c","b","c","b","d","b","d","b"
"107","a","a","a","a","a","a","a","a","a","a","a","b","a","c","a","c","b","c","b","c","a","c","c","c","a","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","d","c","d","b","d","c","d","c","d","c","c","c","c","d","c","d","c","c","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c"
"108","d","c","d","c","d","b","d","b","d","c","d","c","d","d","c","d","c","d","c","d","c","d","c","d","c","d","b","c","b","c","b","c","b","c","b","c","b","b","b","c","b","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","b","c","b","c","b","c","b"
"109","d","c","d","b","d","a","d","b","d","d","d","c","c","d","c","d","c","d","c","d","c","d","c","d","c","c","b","c","c","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","b","c","b","c","b","c","b","c","b"
"110","d","c","d","b","d","a","d","b","d","c","d","d","c","d","c","d","c","d","c","d","b","d","b","d","c","c","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","b","a","b","a","b","a","c","a","c","a","c","b","c","b","c","b","d","b","c","b"
"111","d","c","d","c","d","a","d","a","d","c","d","c","d","d","c","d","c","d","c","d","c","d","c","d","c","d","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","b","c","a","c","b","c","b","c","b","c","b","c","b","c","b"
"112","d","c","d","c","d","b","d","a","d","b","d","c","d","d","c","d","c","d","c","d","c","d","c","d","c","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","b","c","b","c","b","d","b","d","b"
"113","d","c","d","c","d","b","d","b","d","c","d","c","d","d","d","d","c","d","c","d","c","d","c","d","c","d","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","b","c","b","c","b","c","b","c","c"
"114","d","c","d","c","d","a","d","b","d","d","d","c","c","d","c","d","c","d","c","d","c","d","c","d","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","b","c","b","c","b","d","b","d","b"
"115","d","c","d","c","d","b","d","b","d","d","d","c","d","d","c","d","c","d","c","d","b","d","c","d","c","c","b","b","b","b","b","b","a","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","b","d","b","d","b","d","b","d","c"
"116","d","c","d","a","d","a","d","a","d","d","c","b","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","c","b","d","b","c","b","d","a","c","b","c","a","c","a","c","a","c","a","c","a","b","a","b","a","b","a","b","a","b","b","c","b","b","c","c","c","c","c","b","c","c","d","c","c","c","d","c","d","c","d","c"
"117","c","d","b","d","a","d","b","d","c","d","b","b","b","b","b","c","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a","b","b","d","a","c","b","d","b","d","b","d","b","d","b","d","b","d","c","d","c","d","c","d","c","d","c","d","c","d","c"
"118","b","d","b","d","b","d","b","d","c","d","b","c","b","b","b","c","b","b","b","b","b","b","a","c","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","b","a","c","a","c","b","d","b","d","b","d","b","d","b","d","b","d","b","d","c","d","b","d","c","d","c","d","c","d","b"
"119","c","d","b","d","a","c","c","b","b","c","c","b","b","b","b","c","b","c","b","c","a","c","a","c","a","c","a","c","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","a","c","a","d","b","d","b","d","b","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","b"
"120","d","c","d","c","d","a","d","b","d","d","d","c","c","d","d","d","d","d","c","d","c","d","c","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","b","c","b","c","b","c","b","d","b","d","c"
"121","d","c","d","b","d","b","d","c","d","c","d","d","c","d","c","d","b","d","b","d","c","d","c","d","b","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","a","a","c","a","c","a","c","a","c","a","d","b","c","b","d","b","d","b"
"122","d","d","d","d","d","d","d","d","d","d","c","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","b","a","b","a","c","a","c","a","c","b","d","b","d","b","d","b","d","b","d","b","d","c","d","b","d","c"
"123","d","d","d","d","d","d","d","d","d","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","b","c","b","d","b","d","b","d","b","d","b","d","c","d","c","d","c","d","c"
"124","d","d","d","d","d","d","d","d","c","d","b","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","b","a","b","a","c","b","c","b","d","b","d","b","d","b","d","b","d","c","d","c","d","c","d","c"
"125","d","d","d","d","d","d","d","d","d","d","d","c","c","c","c","c","b","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","a","a","b","a","b","a","a","a","b","a","a","a","b","a","a","a","a","b","a","b","b","b","b","c","b","c","b","c","b","d","b","d","b","d","c","d","c"
"126","d","d","d","d","d","d","d","d","d","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","c","b","c","b","c","b","d","b","d","b","d","b","d","b","d","c","d","c","d","c"
"127","d","b","d","a","d","a","d","b","d","c","c","d","d","d","d","d","d","d","d","d","d","d","d","d","b","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","a","b","a","b","a","b","a"
"128","d","b","d","a","d","a","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","b","c","b","c","b","c","b","c","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","a","b","a","b","a","c","a","c","a","d","a"
"129","d","b","d","a","d","a","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","d","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a"
"130","d","d","d","d","d","d","d","d","d","d","d","c","c","c","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","a","b","b","b","b","c","b","c","b","c","b","d","b","c","b","d","b","d","b","d","b","d","b"
"131","d","d","d","d","d","d","d","d","d","c","b","c","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","b","b","a","b","a","b","a","c","b","c","b","c","b","d","b","d","b","d","b","d","c","d","c","d","c","d","c"
"132","d","b","d","b","d","a","d","a","d","b","d","c","b","d","c","d","d","d","d","d","d","d","d","d","c","d","b","b","b","b","b","b","c","b","a","b","a","b","b","b","b","b","a","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","b","a","b","b","c","b","c","b"
"133","d","a","d","b","d","d","d","c","c","d","c","d","c","d","c","d","c","d","c","d","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","b","c","b","c","b","c","b","d","b"
"134","d","b","d","a","d","c","d","c","d","d","c","d","c","d","c","d","c","d","c","d","c","d","b","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","c","a","c","a","c","b","c","b","d","b","d","b","d","b","d","c"
"135","d","a","d","b","d","c","d","c","c","d","c","d","c","d","c","d","c","d","c","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","b","c","b","c","b","d","b","d","b","d","c","d","c"
"136","d","c","d","b","d","a","d","c","d","c","d","c","c","d","c","d","c","d","c","d","c","d","c","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","b","c","b","c","b","c","b","d","b","d","c"
"137","c","d","b","d","b","d","b","d","c","c","b","b","b","b","a","b","b","b","a","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","a","d","b","d","b","d","b","d","b","d","b","d","c","d","c","d","c","d","c","d","c","d","c","d","c","d","c"
"138","d","c","d","c","d","a","d","a","d","c","d","c","d","d","c","d","c","d","c","d","c","d","c","d","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","b","b","c","b","c","b","c","b","c","b","c","b"
"139","d","b","d","a","d","b","d","c","d","c","c","d","c","d","d","d","c","d","c","d","c","d","b","c","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a","b","a","c","b","c","b","c","b","d","b","d","b","d","b"
"140","d","c","d","b","d","a","d","a","d","c","d","c","c","d","c","d","c","d","c","d","c","d","c","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","a","a","a","a","a","a","a","a","b","a","c","a","c","b","c","b","c","b","d","b"
"141","d","c","d","b","d","a","d","a","d","c","d","c","c","d","c","d","d","d","c","d","c","d","c","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","b","c","b","c","b","c","b","c","b"
"142","d","c","d","c","d","b","d","a","d","b","d","d","d","c","c","d","c","d","d","d","c","d","c","d","c","d","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","c","a","c","b","c","b","c","b"
"143","d","c","d","c","d","a","d","a","d","b","d","c","d","c","c","d","c","d","c","d","c","d","c","d","c","d","b","c","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","b","a","b","b","c","a","c","a","d","b"
"144","d","c","d","b","d","a","d","b","d","c","d","c","c","d","c","d","c","d","c","d","c","d","c","d","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","b","a","b","a","b","a","c","a","c","b","d","b","d","b"
"145","d","b","d","a","d","b","d","d","d","c","d","d","c","d","d","d","d","d","d","d","d","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","a","b","a","a","b","a","c","b","c","b","c","b","c","b","d","b","d","b"
"146","d","b","d","a","d","a","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","b","b","b","c","b","c","b","c","b"
"147","d","d","d","d","d","d","d","d","d","d","c","c","c","b","b","b","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a","c","a","d","a","d","b","d","b","d","b","d","b","d","b","d","c","d","c"
"148","d","a","d","a","d","a","d","c","d","c","d","d","d","d","d","d","d","d","d","d","d","d","c","c","c","c","c","b","c","b","b","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","b","b","b"
"149","d","d","d","d","d","d","d","d","d","d","c","c","d","c","c","b","c","b","c","b","c","b","b","b","c","b","c","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a","b","a","d","a","d","b","d","b","d","b","d","b","d","b","d","b"
"150","d","a","d","a","d","a","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","c","c","c","b","b","b","c","b","b","b","b","b","c","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","b","b","b","a","c","b"
"151","d","c","d","b","d","a","d","a","d","c","d","c","b","d","d","d","d","d","d","d","d","d","d","d","c","d","c","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a"
"152","d","b","d","a","d","a","d","a","d","c","b","d","c","d","d","d","d","d","d","d","d","d","c","d","c","c","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","a","a","a","b","a","b","a"
"153","d","b","d","a","d","a","d","b","d","c","c","d","d","d","d","d","d","d","d","d","d","d","d","c","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a","b","a"
"154","d","a","d","a","d","a","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","c","b","c","b","c","b","c","b","b","b","b","b","b","b","b","c","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a"
"155","d","c","d","a","d","a","d","a","d","c","d","c","c","d","d","d","d","d","d","d","c","d","c","d","c","c","c","c","c","b","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a"
"156","d","a","d","a","d","a","d","b","d","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","c","c","b","c","b","b","b","c","b","b","b","c","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","b","a","b","a"
"157","d","a","d","a","d","a","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","c","a"
"158","d","a","d","a","d","b","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","c","c","c","c","b","b","b","c","b","b","b","c","b","b","b","b","b","c","b","b","b","b","b","b","a","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","b","a","a","a","a","b","a","b","a"
"159","d","a","d","a","d","a","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","b","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","b","a","b","a"
"160","d","c","d","b","d","a","d","a","d","b","d","c","b","d","d","d","d","d","d","d","d","d","c","d","c","d","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","a","b","a","b","a"
"161","d","b","d","a","d","a","d","a","d","c","d","c","c","d","d","d","d","d","c","d","d","d","c","d","c","c","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","b","a","b","a"
"162","d","c","d","b","d","a","d","a","d","b","d","c","c","d","d","d","d","d","d","d","d","d","d","d","c","d","b","c","b","b","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","b","a","a","a","a","b","b","b","a"
"163","c","c","d","b","d","a","d","a","d","b","d","c","d","c","c","d","d","d","d","d","d","d","d","d","d","d","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","a","a","a","a","b","a","b","a"
"164","d","c","d","a","d","a","d","a","d","b","d","c","b","d","c","d","d","d","d","d","d","d","d","d","c","c","b","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","a","a","b","a","b","a","b","a"
"165","d","c","d","b","d","a","d","a","d","a","d","c","c","d","d","d","d","d","d","d","d","d","d","d","d","d","c","c","c","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","a","b","b","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","b","b","b","a","b","a"
"166","d","d","d","d","d","d","d","d","d","d","d","c","b","c","d","c","b","c","b","c","c","c","b","c","b","b","c","c","a","b","b","b","a","b","a","b","b","b","b","b","a","b","a","b","a","b","a","b","a","b","a","a","a","a","b","a","a","a","b","a","b","a","c","a","c","b","c","b","d","b","d","b","d","b","d","b","d","b"
